Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Provided Email Address,Year Patron Registered
3,Senior,1025,1328,65 to 74 years,m6,Mission,Jul,2023,TRUE,2003
0,Adult,56,22,45 to 54 years,m6,Mission,Jun,2023,TRUE,2009
3,Senior,197,107,65 to 74 years,m6,Mission,Jul,2023,TRUE,2011
2,Teen,2,0,10 to 19 years,m6,Mission,Aug,2014,TRUE,2009
0,Adult,0,0,35 to 44 years,m6,Mission,Jul,2023,TRUE,2017
0,Adult,90,123,35 to 44 years,m6,Mission,May,2023,TRUE,2011
0,Adult,0,0,25 to 34 years,m6,Mission,Mar,2023,TRUE,2023
0,Adult,41,98,45 to 54 years,m6,Mission,Jul,2023,TRUE,2011
0,Adult,2,0,35 to 44 years,m6,Mission,Jul,2019,TRUE,2015
0,Adult,0,0,25 to 34 years,m6,Mission,,,TRUE,2022
0,Adult,202,135,45 to 54 years,m6,Mission,May,2023,TRUE,2012
0,Adult,16,9,25 to 34 years,m6,Mission,Feb,2021,TRUE,2019
0,Adult,157,310,25 to 34 years,m6,Mission,Jul,2023,TRUE,2018
0,Adult,1,2,25 to 34 years,m6,Mission,Jul,2023,TRUE,2017
0,Adult,3,2,25 to 34 years,m6,Mission,Sep,2022,TRUE,2018
0,Adult,163,38,35 to 44 years,m6,Mission,Dec,2022,TRUE,2018
0,Adult,13,36,35 to 44 years,m6,Mission,Sep,2021,TRUE,2015
0,Adult,53,11,35 to 44 years,m6,Mission,Jul,2023,TRUE,2011
1,Juvenile,27,14,10 to 19 years,m6,Mission,May,2022,TRUE,2018
0,Adult,2,2,25 to 34 years,m6,Mission,Jul,2023,TRUE,2023
0,Adult,125,18,20 to 24 years,m6,Mission,Aug,2022,TRUE,2008
0,Adult,0,0,55 to 59 years,m6,Mission,Sep,2021,TRUE,2015
2,Teen,140,48,10 to 19 years,m6,Mission,May,2023,TRUE,2013
0,Adult,0,0,25 to 34 years,m6,Mission,Dec,2022,TRUE,2022
0,Adult,142,168,55 to 59 years,m6,Mission,Oct,2022,TRUE,2005
0,Adult,20,26,35 to 44 years,m6,Mission,Feb,2021,TRUE,2009
0,Adult,38,50,45 to 54 years,m6,Mission,May,2023,TRUE,2011
0,Adult,2,2,35 to 44 years,m6,Mission,Jul,2023,TRUE,2015
1,Juvenile,48,8,0 to 9 years,m6,Mission,Feb,2021,TRUE,2018
0,Adult,767,30,20 to 24 years,m6,Mission,Aug,2021,TRUE,2003
0,Adult,61,98,35 to 44 years,m6,Mission,Jun,2023,TRUE,2008
0,Adult,146,82,20 to 24 years,m6,Mission,Jul,2023,TRUE,2003
0,Adult,102,26,25 to 34 years,m6,Mission,Jul,2023,TRUE,2007
1,Juvenile,156,178,0 to 9 years,m6,Mission,Jul,2023,TRUE,2018
0,Adult,143,188,35 to 44 years,m6,Mission,Jul,2023,TRUE,2018
0,Adult,0,0,25 to 34 years,m6,Mission,Jul,2023,TRUE,2023
1,Juvenile,84,101,0 to 9 years,m6,Mission,Mar,2023,TRUE,2019
0,Adult,178,99,35 to 44 years,m6,Mission,Jul,2023,TRUE,2016
0,Adult,259,26,25 to 34 years,m6,Mission,Feb,2023,TRUE,2003
0,Adult,206,6,10 to 19 years,m6,Mission,Jun,2022,TRUE,2011
1,Juvenile,204,2,10 to 19 years,m6,Mission,Apr,2021,TRUE,2014
0,Adult,377,333,35 to 44 years,m6,Mission,Jul,2023,TRUE,2014
2,Teen,317,15,10 to 19 years,m6,Mission,Jan,2019,TRUE,2009
0,Adult,13,33,20 to 24 years,m6,Mission,Jun,2023,TRUE,2022
2,Teen,508,11,10 to 19 years,m6,Mission,Dec,2020,TRUE,2012
0,Adult,17,0,10 to 19 years,m6,Mission,Mar,2022,TRUE,2016
0,Adult,38,8,35 to 44 years,m6,Mission,Feb,2023,TRUE,2003
2,Teen,521,225,10 to 19 years,m6,Mission,Apr,2022,TRUE,2005
2,Teen,2646,903,10 to 19 years,m6,Mission,Aug,2021,TRUE,2008
0,Adult,801,606,45 to 54 years,m6,Mission,Jul,2023,TRUE,2003
2,Teen,49,0,10 to 19 years,m6,Mission,Feb,2023,TRUE,2014
0,Adult,0,0,55 to 59 years,m6,Mission,May,2023,TRUE,2017
3,Senior,0,0,65 to 74 years,m6,Mission,May,2023,TRUE,2016
0,Adult,74,8,20 to 24 years,m6,Mission,Oct,2021,TRUE,2010
2,Teen,35,26,10 to 19 years,m6,Mission,Apr,2023,TRUE,2014
1,Juvenile,1,0,10 to 19 years,m6,Mission,May,2022,TRUE,2022
0,Adult,3,3,35 to 44 years,m6,Mission,Jul,2023,TRUE,2020
2,Teen,40,3,10 to 19 years,m6,Mission,Jan,2017,TRUE,2010
0,Adult,10,4,35 to 44 years,m6,Mission,Apr,2023,TRUE,2015
0,Adult,20,14,35 to 44 years,m6,Mission,Jul,2023,TRUE,2020
0,Adult,25,8,35 to 44 years,m6,Mission,Jul,2023,TRUE,2008
0,Adult,449,51,25 to 34 years,m6,Mission,Jul,2023,TRUE,2003
0,Adult,0,0,45 to 54 years,m6,Mission,Jul,2023,TRUE,2023
1,Juvenile,14,28,0 to 9 years,m6,Mission,Jul,2023,TRUE,2023
0,Adult,5,3,25 to 34 years,m6,Mission,Apr,2022,TRUE,2017
2,Teen,3164,801,10 to 19 years,m6,Mission,Dec,2022,TRUE,2007
1,Juvenile,789,396,0 to 9 years,m6,Mission,Oct,2022,TRUE,2015
0,Adult,42,61,35 to 44 years,m6,Mission,Jan,2023,TRUE,2013
0,Adult,0,0,25 to 34 years,m6,Mission,,,TRUE,2023
0,Adult,32,30,25 to 34 years,m6,Mission,Mar,2023,TRUE,2018
0,Adult,66,143,45 to 54 years,m6,Mission,Jun,2023,TRUE,2003
0,Adult,0,0,25 to 34 years,m6,Mission,Mar,2023,TRUE,2022
0,Adult,2,3,45 to 54 years,m6,Mission,Jul,2023,TRUE,2006
0,Adult,0,0,35 to 44 years,m6,Mission,,,TRUE,2022
0,Adult,139,121,45 to 54 years,m6,Mission,Jul,2023,TRUE,2014
0,Adult,194,61,45 to 54 years,m6,Mission,Jul,2023,TRUE,2009
0,Adult,0,0,35 to 44 years,m6,Mission,Feb,2023,TRUE,2017
0,Adult,115,95,45 to 54 years,m6,Mission,Jul,2023,TRUE,2004
0,Adult,0,0,35 to 44 years,m6,Mission,Jan,2022,TRUE,2017
0,Adult,15,5,35 to 44 years,m6,Mission,Nov,2022,TRUE,2018
2,Teen,221,31,10 to 19 years,m6,Mission,Dec,2019,TRUE,2012
3,Senior,1,1,65 to 74 years,m6,Mission,Jul,2023,TRUE,2018
0,Adult,2,0,35 to 44 years,m6,Mission,Jun,2021,TRUE,2015
0,Adult,9,11,45 to 54 years,m6,Mission,May,2023,TRUE,2017
0,Adult,402,415,45 to 54 years,m6,Mission,Jul,2023,TRUE,2003
0,Adult,151,207,45 to 54 years,m6,Mission,Jul,2023,TRUE,2006
0,Adult,50,10,45 to 54 years,m6,Mission,Sep,2019,TRUE,2003
0,Adult,103,93,25 to 34 years,m6,Mission,Sep,2019,TRUE,2003
1,Juvenile,172,67,0 to 9 years,m6,Mission,Apr,2022,TRUE,2017
0,Adult,346,109,35 to 44 years,m6,Mission,Jul,2023,TRUE,2010
0,Adult,494,204,35 to 44 years,m6,Mission,Jul,2023,TRUE,2014
0,Adult,74,95,35 to 44 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,15,5,35 to 44 years,m6,Mission,Dec,2020,TRUE,2019
0,Adult,0,0,25 to 34 years,m6,Mission,Dec,2019,TRUE,2019
0,Adult,9,18,35 to 44 years,m6,Mission,Jan,2020,TRUE,2018
0,Adult,0,0,35 to 44 years,m6,Mission,Jun,2023,TRUE,2023
2,Teen,29,0,10 to 19 years,m6,Mission,Sep,2020,TRUE,2011
1,Juvenile,95,161,0 to 9 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,615,588,45 to 54 years,m6,Mission,Jul,2023,TRUE,2003
1,Juvenile,202,53,10 to 19 years,m6,Mission,Jul,2023,TRUE,2016
0,Adult,49,30,25 to 34 years,m6,Mission,Jul,2023,TRUE,2019
1,Juvenile,0,0,10 to 19 years,m6,Mission,,,TRUE,2018
2,Teen,0,0,10 to 19 years,m6,Mission,,,TRUE,2019
0,Adult,285,9,55 to 59 years,m6,Mission,Jul,2023,TRUE,2004
0,Adult,87,11,25 to 34 years,m6,Mission,Mar,2021,TRUE,2008
0,Adult,5,9,25 to 34 years,m6,Mission,Feb,2023,TRUE,2019
0,Adult,0,0,35 to 44 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,0,0,25 to 34 years,m6,Mission,,,TRUE,2022
0,Adult,5,12,25 to 34 years,m6,Mission,Sep,2022,TRUE,2016
0,Adult,2152,1341,35 to 44 years,m6,Mission,Dec,2022,TRUE,2008
3,Senior,0,0,65 to 74 years,m6,Mission,Jul,2021,TRUE,2020
0,Adult,46,25,25 to 34 years,m6,Mission,Mar,2023,TRUE,2008
0,Adult,2,2,35 to 44 years,m6,Mission,Dec,2022,TRUE,2007
0,Adult,46,37,35 to 44 years,m6,Mission,Jul,2023,TRUE,2011
0,Adult,405,431,25 to 34 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,45,67,25 to 34 years,m6,Mission,Jun,2023,TRUE,2006
1,Juvenile,10,15,0 to 9 years,m6,Mission,Mar,2021,TRUE,2017
0,Adult,25,0,20 to 24 years,m6,Mission,Dec,2018,TRUE,2010
1,Juvenile,0,0,0 to 9 years,m6,Mission,,,TRUE,2022
0,Adult,2,0,10 to 19 years,m6,Mission,Jun,2021,TRUE,2019
0,Adult,0,0,20 to 24 years,m6,Mission,Sep,2021,TRUE,2017
0,Adult,11,1,60 to 64 years,m6,Mission,Feb,2023,TRUE,2017
0,Adult,12,20,35 to 44 years,m6,Mission,Jul,2023,TRUE,2017
3,Senior,0,0,75 years and over,m6,Mission,Mar,2022,TRUE,2022
0,Adult,212,92,55 to 59 years,m6,Mission,Jul,2023,TRUE,2003
0,Adult,24,12,60 to 64 years,m6,Mission,Jul,2023,TRUE,2006
0,Adult,0,0,25 to 34 years,m6,Mission,Jun,2023,TRUE,2023
1,Juvenile,12,6,10 to 19 years,m6,Mission,Oct,2022,TRUE,2012
0,Adult,1,4,35 to 44 years,m6,Mission,Dec,2022,TRUE,2017
0,Adult,5,0,25 to 34 years,m6,Mission,Jun,2023,TRUE,2020
0,Adult,32,19,45 to 54 years,m6,Mission,Mar,2022,TRUE,2007
1,Juvenile,2,0,10 to 19 years,m6,Mission,Jun,2021,TRUE,2017
3,Senior,221,163,65 to 74 years,m6,Mission,Jul,2023,TRUE,2018
2,Teen,17,0,10 to 19 years,m6,Mission,Mar,2023,TRUE,2015
0,Adult,0,0,55 to 59 years,m6,Mission,May,2023,TRUE,2019
1,Juvenile,1002,114,10 to 19 years,m6,Mission,Jul,2023,TRUE,2015
0,Adult,2,0,60 to 64 years,m6,Mission,Jul,2023,TRUE,2019
3,Senior,357,203,65 to 74 years,m6,Mission,Jun,2023,TRUE,2011
1,Juvenile,5,0,10 to 19 years,m6,Mission,Jun,2021,TRUE,2014
0,Adult,643,450,55 to 59 years,m6,Mission,Jun,2023,TRUE,2003
0,Adult,479,2,20 to 24 years,m6,Mission,May,2023,TRUE,2011
0,Adult,0,0,25 to 34 years,m6,Mission,Oct,2022,TRUE,2018
1,Juvenile,0,0,0 to 9 years,m6,Mission,,,TRUE,2023
0,Adult,2,10,25 to 34 years,m6,Mission,Jul,2023,TRUE,2023
2,Teen,8,0,10 to 19 years,m6,Mission,Oct,2018,TRUE,2011
0,Adult,0,0,35 to 44 years,m6,Mission,Jul,2023,TRUE,2017
2,Teen,183,70,10 to 19 years,m6,Mission,Oct,2022,TRUE,2013
0,Adult,0,0,45 to 54 years,m6,Mission,,,TRUE,2020
2,Teen,112,32,10 to 19 years,m6,Mission,Mar,2021,TRUE,2019
0,Adult,544,341,45 to 54 years,m6,Mission,Jul,2023,TRUE,2003
1,Juvenile,322,241,0 to 9 years,m6,Mission,Jul,2023,TRUE,2018
0,Adult,17,20,25 to 34 years,m6,Mission,Aug,2021,TRUE,2019
0,Adult,13,2,35 to 44 years,m6,Mission,Jul,2023,TRUE,2016
0,Adult,5,3,35 to 44 years,m6,Mission,Jul,2023,TRUE,2013
0,Adult,1,3,25 to 34 years,m6,Mission,Apr,2023,TRUE,2023
3,Senior,535,18,65 to 74 years,m6,Mission,Jul,2023,TRUE,2003
0,Adult,425,321,60 to 64 years,m6,Mission,Jul,2023,TRUE,2004
0,Adult,0,0,35 to 44 years,m6,Mission,Jul,2023,TRUE,2019
2,Teen,5,1,10 to 19 years,m6,Mission,Apr,2023,TRUE,2018
0,Adult,64,105,25 to 34 years,m6,Mission,Oct,2022,TRUE,2016
1,Juvenile,136,154,0 to 9 years,m6,Mission,Apr,2023,TRUE,2021
0,Adult,134,197,25 to 34 years,m6,Mission,Jul,2023,TRUE,2011
0,Adult,204,214,35 to 44 years,m6,Mission,Jul,2023,TRUE,2010
0,Adult,5,1,35 to 44 years,m6,Mission,Jan,2023,TRUE,2012
0,Adult,146,16,60 to 64 years,m6,Mission,Jul,2023,TRUE,2003
0,Adult,1,1,55 to 59 years,m6,Mission,Mar,2020,TRUE,2019
0,Adult,225,202,25 to 34 years,m6,Mission,May,2022,TRUE,2017
1,Juvenile,298,23,0 to 9 years,m6,Mission,Dec,2021,TRUE,2014
0,Adult,8,14,25 to 34 years,m6,Mission,Jul,2023,TRUE,2022
0,Adult,6,5,20 to 24 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,1,2,25 to 34 years,m6,Mission,Jun,2023,TRUE,2022
0,Adult,5,4,35 to 44 years,m6,Mission,Feb,2023,TRUE,2016
0,Adult,40,63,45 to 54 years,m6,Mission,Jul,2022,TRUE,2016
0,Adult,168,70,35 to 44 years,m6,Mission,Jul,2023,TRUE,2013
0,Adult,6,10,25 to 34 years,m6,Mission,Jun,2023,TRUE,2022
0,Adult,11,21,25 to 34 years,m6,Mission,Jul,2023,TRUE,2018
0,Adult,330,96,25 to 34 years,m6,Mission,Jul,2023,TRUE,2003
0,Adult,4,0,35 to 44 years,m6,Mission,Jul,2023,TRUE,2014
0,Adult,1,0,25 to 34 years,m6,Mission,May,2022,TRUE,2018
0,Adult,67,43,35 to 44 years,m6,Mission,Jul,2023,TRUE,2016
0,Adult,16,17,25 to 34 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,0,0,25 to 34 years,m6,Mission,,,TRUE,2022
0,Adult,32,71,35 to 44 years,m6,Mission,Mar,2023,TRUE,2014
0,Adult,0,0,25 to 34 years,m6,Mission,,,TRUE,2020
0,Adult,603,389,55 to 59 years,m6,Mission,Jan,2023,TRUE,2003
0,Adult,0,0,25 to 34 years,m6,Mission,May,2023,TRUE,2017
0,Adult,51,48,35 to 44 years,m6,Mission,Jan,2023,TRUE,2010
2,Teen,243,132,10 to 19 years,m6,Mission,May,2023,TRUE,2011
1,Juvenile,77,51,10 to 19 years,m6,Mission,Jun,2023,TRUE,2014
0,Adult,42,70,35 to 44 years,m6,Mission,Jan,2022,TRUE,2015
0,Adult,3710,68,20 to 24 years,m6,Mission,Jul,2023,TRUE,2004
3,Senior,17,9,65 to 74 years,m6,Mission,Dec,2022,TRUE,2006
0,Adult,1265,475,35 to 44 years,m6,Mission,Jul,2023,TRUE,2016
0,Adult,50,78,25 to 34 years,m6,Mission,May,2023,TRUE,2017
0,Adult,23,8,60 to 64 years,m6,Mission,May,2021,TRUE,2003
0,Adult,9,11,20 to 24 years,m6,Mission,Jun,2023,TRUE,2022
0,Adult,1110,861,55 to 59 years,m6,Mission,Sep,2022,TRUE,2003
0,Adult,5,3,45 to 54 years,m6,Mission,Feb,2020,TRUE,2019
0,Adult,0,0,25 to 34 years,m6,Mission,Jul,2023,TRUE,2022
0,Adult,61,99,35 to 44 years,m6,Mission,Sep,2022,TRUE,2017
1,Juvenile,397,121,0 to 9 years,m6,Mission,May,2022,TRUE,2015
0,Adult,98,131,35 to 44 years,m6,Mission,Feb,2023,TRUE,2006
0,Adult,17,21,25 to 34 years,m6,Mission,Jul,2023,TRUE,2022
0,Adult,142,53,35 to 44 years,m6,Mission,Jun,2023,TRUE,2008
0,Adult,74,95,45 to 54 years,m6,Mission,Jul,2023,TRUE,2017
0,Adult,129,48,35 to 44 years,m6,Mission,May,2023,TRUE,2004
0,Adult,422,287,35 to 44 years,m6,Mission,Jul,2023,TRUE,2004
0,Adult,8,13,25 to 34 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,22,4,35 to 44 years,m6,Mission,Jul,2023,TRUE,2006
0,Adult,0,0,35 to 44 years,m6,Mission,Jun,2023,TRUE,2019
0,Adult,139,106,35 to 44 years,m6,Mission,Jul,2023,TRUE,2020
0,Adult,0,0,35 to 44 years,m6,Mission,Jul,2023,TRUE,2018
0,Adult,22,23,35 to 44 years,m6,Mission,Mar,2023,TRUE,2018
0,Adult,0,0,25 to 34 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,11,19,35 to 44 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,22,45,35 to 44 years,m6,Mission,Feb,2022,TRUE,2018
0,Adult,4,5,25 to 34 years,m6,Mission,Jul,2023,TRUE,2023
1,Juvenile,6,6,0 to 9 years,m6,Mission,Feb,2021,TRUE,2018
0,Adult,327,136,60 to 64 years,m6,Mission,Jun,2023,TRUE,2003
0,Adult,6,9,25 to 34 years,m6,Mission,Jun,2023,TRUE,2022
0,Adult,39,15,25 to 34 years,m6,Mission,Jul,2023,TRUE,2018
0,Adult,2,5,25 to 34 years,m6,Mission,Jun,2022,TRUE,2016
3,Senior,0,0,65 to 74 years,m6,Mission,Jul,2023,TRUE,2018
0,Adult,3,6,45 to 54 years,m6,Mission,Jul,2023,TRUE,2003
0,Adult,0,0,25 to 34 years,m6,Mission,,,TRUE,2022
0,Adult,26,0,35 to 44 years,m6,Mission,Jan,2023,TRUE,2014
0,Adult,55,33,25 to 34 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,0,0,35 to 44 years,m6,Mission,Jul,2022,TRUE,2019
0,Adult,292,52,45 to 54 years,m6,Mission,Feb,2023,TRUE,2012
0,Adult,0,0,25 to 34 years,m6,Mission,Jul,2023,TRUE,2022
0,Adult,85,67,35 to 44 years,m6,Mission,Jul,2023,TRUE,2010
0,Adult,0,0,35 to 44 years,m6,Mission,Aug,2020,TRUE,2013
0,Adult,368,468,35 to 44 years,m6,Mission,Jul,2023,TRUE,2007
0,Adult,6,0,45 to 54 years,m6,Mission,Jul,2023,TRUE,2018
0,Adult,0,0,60 to 64 years,m6,Mission,Jul,2023,TRUE,2021
2,Teen,0,0,10 to 19 years,m6,Mission,,,TRUE,2022
1,Juvenile,0,0,10 to 19 years,m6,Mission,,,TRUE,2022
1,Juvenile,10,6,10 to 19 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,203,23,25 to 34 years,m6,Mission,Jun,2021,TRUE,2003
0,Adult,0,0,35 to 44 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,56,7,25 to 34 years,m6,Mission,Apr,2020,TRUE,2006
0,Adult,27,19,35 to 44 years,m6,Mission,Jul,2023,TRUE,2015
0,Adult,7,4,35 to 44 years,m6,Mission,Oct,2020,TRUE,2017
0,Adult,0,0,25 to 34 years,m6,Mission,Jul,2023,TRUE,2019
0,Adult,3,0,45 to 54 years,m6,Mission,Nov,2022,TRUE,2010
0,Adult,87,57,35 to 44 years,m6,Mission,May,2023,TRUE,2008
0,Adult,0,0,35 to 44 years,m6,Mission,Jul,2023,TRUE,2012
0,Adult,26,31,25 to 34 years,m6,Mission,May,2023,TRUE,2015
2,Teen,11,1,10 to 19 years,m6,Mission,Jun,2021,TRUE,2015
2,Teen,0,0,10 to 19 years,m6,Mission,Apr,2022,TRUE,2019
0,Adult,0,0,35 to 44 years,m6,Mission,Oct,2019,TRUE,2019
0,Adult,4,0,35 to 44 years,m6,Mission,Jul,2022,TRUE,2022
3,Senior,53,2,75 years and over,m6,Mission,Oct,2020,TRUE,2003
2,Teen,1202,1099,10 to 19 years,m6,Mission,Jul,2023,TRUE,2011
0,Adult,62,94,35 to 44 years,m6,Mission,Jul,2023,TRUE,2016
0,Adult,14,17,20 to 24 years,m6,Mission,Jul,2023,TRUE,2022
3,Senior,20,32,65 to 74 years,m6,Mission,Jul,2023,TRUE,2015
1,Juvenile,59,90,0 to 9 years,m6,Mission,Jul,2023,TRUE,2015
2,Teen,134,19,10 to 19 years,m6,Mission,Jul,2022,TRUE,2010
0,Adult,68,23,55 to 59 years,m6,Mission,Jul,2023,TRUE,2004
0,Adult,4,2,25 to 34 years,m6,Mission,Jul,2023,TRUE,2019
1,Juvenile,17,2,10 to 19 years,m6,Mission,Mar,2019,TRUE,2017
0,Adult,112,128,45 to 54 years,m6,Mission,Nov,2022,TRUE,2010
0,Adult,2,2,25 to 34 years,m6,Mission,Jul,2023,TRUE,2022
0,Adult,67,12,35 to 44 years,m6,Mission,Apr,2021,TRUE,2015
0,Adult,0,0,45 to 54 years,m6,Mission,Jan,2020,TRUE,2015
0,Adult,287,50,35 to 44 years,m6,Mission,Apr,2023,TRUE,2014
0,Adult,0,0,45 to 54 years,m6,Mission,Jul,2023,TRUE,2017
0,Adult,81,28,60 to 64 years,m6,Mission,Jun,2023,TRUE,2009
